Invoice_ID,Product_Category,List_Price,Discount_Percent,Discount_Amount,Quantity,Net_Revenue,COGS,Gross_Margin,Gross_Margin_Percent,Customer_Segment,Sales_Channel,Invoice_Date,Discount_Tier
INV100000,Home & Kitchen,5570.96,2.8,467.96,3,16244.92,7310.21,8934.71,55.0,Retail,Direct Website,2025-06-28,Low
INV100001,Footwear,605.32,7.1,171.91,4,2249.37,1065.17,1184.2,52.65,Retail,Marketplace,2025-05-17,Low
INV100002,Grocery,556.37,5.6,93.47,3,1575.64,890.23,685.41,43.5,Retail,Marketplace,2025-07-10,Low
INV100003,Beauty,2695.15,16.8,905.57,2,4484.73,3482.22,1002.51,22.35,Retail,Direct Website,2025-09-28,Medium
INV100004,Electronics,21810.54,18.2,19847.59,5,89205.11,59901.87,29303.24,32.85,Retail,Direct Website,2025-05-13,Medium
INV100005,Electronics,4253.18,7.8,1326.99,4,15685.73,9649.29,6036.44,38.48,Retail,Direct Website,2025-07-05,Low
INV100006,Electronics,7793.44,17.9,5580.1,4,25593.66,14193.45,11400.21,44.54,Retail,Direct Website,2025-02-09,Medium
INV100007,Footwear,4382.78,41.3,1810.09,1,2572.69,2701.32,-128.63,-5.0,Retail,In-Store,2025-01-19,Very High
INV100008,Beauty,581.74,28.3,164.63,1,417.11,298.48,118.63,28.44,Retail,In-Store,2025-08-19,High
INV100009,Grocery,1039.75,14.5,301.53,2,1777.97,1332.59,445.38,25.05,Retail,In-Store,2025-03-24,Medium
INV100010,Electronics,11662.5,44.9,261823.12,50,321301.88,298331.53,22970.35,7.15,Wholesale,Direct Website,2025-09-23,Very High
INV100011,Footwear,2942.44,15.4,1359.41,3,7467.91,4798.85,2669.06,35.74,Retail,In-Store,2025-08-27,Medium
INV100012,Grocery,1211.25,14.7,534.16,3,3099.59,2307.72,791.87,25.55,Retail,Marketplace,2025-05-02,Medium
INV100013,Apparel,2423.42,43.5,1054.19,1,1369.23,1360.12,9.11,0.67,Retail,Marketplace,2025-12-15,Very High
INV100014,Apparel,1656.6,17.1,283.28,1,1373.32,1224.15,149.17,10.86,Retail,Marketplace,2025-04-23,Medium
INV100015,Apparel,751.61,28.6,429.92,2,1073.3,907.0,166.3,15.49,Retail,Direct Website,2025-07-16,High
INV100016,Apparel,2662.6,8.2,218.33,1,2444.27,1733.34,710.93,29.09,Retail,Marketplace,2025-01-22,Low
INV100017,Beauty,564.1,15.6,352.0,4,1904.4,1141.79,762.61,40.04,Retail,Direct Website,2025-08-19,Medium
INV100018,Home & Kitchen,4965.9,18.4,1827.45,2,8104.35,7161.55,942.8,11.63,Retail,Marketplace,2025-02-05,Medium
INV100019,Apparel,3696.24,22.4,1655.92,2,5736.56,4540.97,1195.59,20.84,Retail,Direct Website,2025-08-24,High
INV100020,Beauty,1599.19,13.8,441.38,2,2757.0,1919.57,837.43,30.37,Retail,Direct Website,2025-07-03,Medium
INV100021,Electronics,23419.87,19.8,9274.27,2,37565.47,28279.74,9285.73,24.72,Retail,Direct Website,2025-12-04,Medium
INV100022,Apparel,536.05,17.2,276.6,3,1331.55,1039.27,292.28,21.95,Retail,Direct Website,2025-07-03,Medium
INV100023,Home & Kitchen,606.23,18.8,113.97,1,492.26,302.16,190.1,38.62,Corporate,Direct Website,2025-10-26,Medium
INV100024,Home & Kitchen,2774.2,12.8,355.1,1,2419.1,1549.1,870.0,35.96,Corporate,Direct Website,2025-06-09,Medium
INV100025,Grocery,1126.71,15.0,338.01,2,1915.41,1333.39,582.02,30.39,Corporate,Marketplace,2025-02-26,Medium
INV100026,Apparel,3921.22,23.9,937.17,1,2984.05,2131.17,852.88,28.58,Retail,Direct Website,2025-02-10,High
INV100027,Beauty,536.27,22.3,119.59,1,416.68,294.78,121.9,29.26,Retail,Marketplace,2025-10-09,High
INV100028,Beauty,1114.08,6.6,73.53,1,1040.55,632.81,407.74,39.19,Retail,Direct Website,2025-04-18,Low
INV100029,Electronics,7037.9,13.1,2765.89,3,18347.81,12308.37,6039.44,32.92,Corporate,Marketplace,2025-07-22,Medium
INV100030,Beauty,557.22,8.6,143.76,3,1527.9,1239.47,288.43,18.88,Retail,Marketplace,2025-06-26,Low
INV100031,Electronics,20079.88,7.0,7027.96,5,93371.44,50011.09,43360.35,46.44,Retail,Marketplace,2025-05-22,Low
INV100032,Electronics,17054.16,1.1,750.38,4,67466.26,36701.08,30765.18,45.6,Retail,Marketplace,2025-07-11,Low
INV100033,Footwear,5749.19,14.6,3357.53,4,19639.23,12937.93,6701.3,34.12,Retail,Direct Website,2025-02-23,Medium
INV100034,Footwear,1983.66,31.5,2499.41,4,5435.23,4702.4,732.83,13.48,Retail,Direct Website,2025-03-12,Very High
INV100035,Grocery,360.4,17.1,123.26,2,597.54,523.44,74.1,12.4,Retail,Direct Website,2025-10-04,Medium
INV100036,Apparel,1196.13,8.5,101.67,1,1094.46,624.36,470.1,42.95,Retail,Direct Website,2025-11-02,Low
INV100037,Electronics,8386.29,16.5,2767.48,2,14005.1,10639.97,3365.13,24.03,Retail,Marketplace,2025-09-09,Medium
INV100038,Grocery,189.68,6.6,563.35,45,7972.25,5226.39,2745.86,34.44,Wholesale,Marketplace,2025-04-28,Low
INV100039,Home & Kitchen,358.38,8.6,154.1,5,1637.8,964.61,673.19,41.1,Retail,Marketplace,2025-11-25,Low
INV100040,Electronics,3406.82,0.0,0.0,2,6813.64,4436.16,2377.48,34.89,Retail,Marketplace,2025-03-20,No Discount
INV100041,Home & Kitchen,4834.9,6.4,1237.73,4,18101.87,10692.84,7409.03,40.93,Corporate,Marketplace,2025-02-07,Low
INV100042,Electronics,15601.95,0.0,0.0,34,530466.3,295116.33,235349.97,44.37,Wholesale,Direct Website,2025-03-17,No Discount
INV100043,Footwear,2749.38,22.8,27581.78,44,93390.94,59487.91,33903.03,36.3,Wholesale,Marketplace,2025-05-03,High
INV100044,Apparel,3917.37,2.8,1316.24,12,45692.2,23625.02,22067.18,48.3,Wholesale,Direct Website,2025-01-06,Low
INV100045,Grocery,1155.16,18.4,6376.48,30,28278.32,22475.07,5803.25,20.52,Wholesale,Direct Website,2025-09-20,Medium
INV100046,Apparel,2367.12,43.3,5124.81,5,6710.79,6465.78,245.01,3.65,Retail,Direct Website,2025-09-27,Very High
INV100047,Beauty,687.09,5.6,76.95,2,1297.23,800.6,496.63,38.28,Retail,Marketplace,2025-12-26,Low
INV100048,Beauty,2261.94,2.9,196.79,3,6589.03,3118.23,3470.8,52.68,Retail,Direct Website,2025-10-09,Low
INV100049,Apparel,863.64,7.2,746.18,12,9617.5,7001.17,2616.33,27.2,Wholesale,Marketplace,2025-07-08,Low
INV100050,Footwear,2085.83,14.8,308.7,1,1777.13,1596.59,180.54,10.16,Retail,In-Store,2025-04-22,Medium
INV100051,Grocery,1302.96,14.6,380.46,2,2225.46,1596.74,628.72,28.25,Retail,Marketplace,2025-04-22,Medium
INV100052,Footwear,2033.22,5.8,1650.97,14,26814.11,15041.13,11772.98,43.91,Wholesale,Direct Website,2025-08-22,Low
